HD138549  , -3.96394e+00, 9.86074e-01
HD1388    , -3.58271e+00, 1.21804e+00
HD140785  , -2.58223e+00, -1.39422e+00
HD140901  , -5.30122e+00, 1.83502e+00
HD141598  , -1.45572e+00, -3.64437e+00
HD141624  , 5.72788e+00, -1.44355e+00
HD141937  , -6.93850e+00, 3.24675e+00
HD142022A , -6.71697e+00, -2.50226e+00
HD142879  , 4.33837e+00, 1.89661e+00
HD143114  , 1.45412e+01, -3.85044e+00
HD143638  , 1.31631e+00, 9.62674e-01
HD14374   , -2.50106e+00, 4.53913e+00
HD144342  , -5.21747e+00, 2.00181e+00
HD14452   , 5.78348e+00, 3.46149e+00
HD144585  , -1.02168e+01, 5.23856e-01
HD145598  , 1.95878e+01, -4.64043e+00
HD145666  , -3.77090e+00, 4.38535e+00
HD145809  , 1.80991e+00, -9.68577e-01
HD145927  , -3.44672e+00, -5.64628e-01
HD1461    , -7.90153e+00, -9.73925e-02
HD146233  , -4.94209e+00, 3.35321e+00
HD147195  , -2.45378e+00, 4.38336e+00
HD14747   , 1.45082e+01, -4.69614e+00
HD147512  , -1.56570e+00, -1.76834e+00
HD147513  , -3.58880e+00, 6.74524e+00
HD147518  , 1.70384e+01, -3.81581e+00
HD148211  , 1.61097e+01, -2.37901e+00
HD148577  , -2.15027e+00, -4.58235e+00
HD14868   , -4.56743e+00, 4.30840e+00
HD148816  , 1.76300e+01, -3.34082e+00
HD149396  , -7.62928e+00, 1.97591e+00
HD149724  , -1.07932e+01, -1.42350e+00
HD150139  , 8.23843e+00, -6.37043e-01
HD150433  , 1.41365e+01, -4.64203e+00
HD150437  , -1.11061e+01, -3.37361e-01
HD150474  , -3.92662e+00, -1.43348e+00
HD151504  , -4.73529e+00, -3.74655e+00
HD151933  , 1.02603e+00, -1.06413e+00
HD154088  , -8.88368e+00, -2.92549e+00
HD154195A , -7.59566e-02, 1.65250e+00
HD154962  , -1.02445e+01, -1.02703e+00
HD155968  , -7.50891e+00, 1.34335e+00
HD156079  , -9.44853e+00, -2.39184e-01
HD156411  , -1.79732e+00, 2.15721e+00
HD156991  , -2.38011e+00, 6.27938e+00
HD157172  , -5.67438e+00, -1.30512e+00
HD157347  , -4.19839e+00, -2.09115e-01
HD157830  , 1.28558e+00, 3.36447e+00
HD1581    , -1.03286e-01, 6.25848e-01
HD159868  , -2.04953e+00, -1.38528e+00
HD16008   , -2.41192e+00, 3.21913e+00
HD160691  , -9.76069e+00, -6.96439e-01
HD161098  , 1.65036e+00, 1.91151e+00
HD161256  , -5.26658e+00, -4.51709e+00
HD16141   , -6.82637e+00, 1.05073e+00
HD161555  , -6.18626e+00, -1.24660e+00
HD161612  , -6.79849e+00, -2.76012e-01
HD162236  , -1.09994e+00, 2.72582e+00
HD16297   , -3.18293e+00, 4.59755e+00
HD16382   , -4.48767e+00, 1.58926e+00
HD16417   , -6.44446e+00, 1.74804e-01
HD165131  , -5.08117e+00, 1.42565e+00
HD16548   , -7.21090e+00, 2.32138e+00
HD165920  , -8.85773e+00, -2.48254e+00
HD166745  , -7.79329e+00, -2.99005e+00
HD16714   , 4.98874e-01, -1.65390e+00
HD167300  , 1.48995e+01, -3.31618e+00
HD167359  , 2.94840e-02, 3.56268e+00
HD167677  , 1.34559e+01, -4.78765e+00
HD16784   , 1.88366e+01, -5.40124e+00
